awaywon,awaylost,homewon,homelost,homeWins,homeLosses,homeOvertimeLosses,homeConferenceWins,homeConferenceLosses,homeDivisionWins,homeDivisionLosses,homeShutoutWins,homeConferenceRank,homeDivisionRank,awayWins,awayLosses,awayOvertimeLosses,awayConferenceWins,awayConferenceLosses,awayDivisionWins,awayDivisionLosses,awayShutoutWins,awayConferenceRank,awayDivisionRank,IsClosed,AwayTeam,HomeTeam,AwayTeamMoneyLine,HomeTeamMoneyLine,PointSpread,OverUnder,PointSpreadAwayTeamMoneyLine,PointSpreadHomeTeamMoneyLine,HomeRotationNumber,AwayRotationNumber,OverPayout,UnderPayout,outcome
1.0,0.0,0.0,1.0,32,37,13,17,33,9,17,3,12,6,39,32,11,28,22,14,12,5,11,6,True,WPG,SJ,-45.0,38.0,0.2,0.7000000000000001,59.0,-73.0,3.0,3.0,-40.0,33.0,home
0.0,2.0,3.0,0.0,54,21,7,34,16,16,10,7,3,2,33,42,7,22,28,11,15,2,13,7,True,OTT,TOR,73.0,-92.0,-0.5,0.7000000000000001,-36.0,-37.0,2.0,1.0,34.0,-41.0,home
2.0,1.0,2.0,0.0,44,26,12,29,21,16,10,8,8,4,51,23,8,29,21,15,11,3,5,3,True,TB,WAS,-41.0,34.0,0.2,0.7000000000000001,63.0,-79.0,1.0,1.0,-35.0,-39.0,home
2.0,0.0,0.0,2.0,58,18,6,37,13,19,7,5,1,1,37,35,10,24,26,15,11,9,9,5,True,NYI,FLA,39.0,-46.0,-0.5,0.6000000000000001,-74.0,60.0,0.0,0.0,-41.0,34.0,home
0.0,2.0,1.0,0.0,45,30,7,30,20,16,10,4,8,5,54,20,8,30,20,17,9,6,2,1,True,CAR,NAS,-39.0,-34.0,0.2,0.7000000000000001,71.0,-88.0,2.0,2.0,33.0,-40.0,home
1.0,2.0,1.0,2.0,33,42,7,22,28,11,15,2,13,7,46,30,6,27,23,14,12,2,7,4,True,DAL,OTT,-46.0,39.0,0.2,0.6000000000000001,58.0,-71.0,3.0,3.0,35.0,-42.0,home
0.0,2.0,1.0,1.0,50,21,11,30,20,16,10,11,3,1,31,37,14,16,34,11,15,4,13,7,True,ANA,CGY,55.0,-66.0,-0.5,0.6000000000000001,-50.0,42.0,12.0,12.0,-35.0,-38.0,home
2.0,2.0,4.0,0.0,54,21,7,34,16,16,10,7,3,2,52,24,6,35,15,16,10,9,4,2,True,NYR,TOR,51.0,-62.0,-0.5,0.7000000000000001,-51.0,42.0,11.0,10.0,34.0,-41.0,home
2.0,0.0,0.0,3.0,25,50,7,16,34,10,16,1,16,8,49,22,11,34,16,17,9,4,4,3,True,STL,ARI,-61.0,51.0,0.2,0.6000000000000001,47.0,-56.0,13.0,12.0,-35.0,-39.0,away
4.0,0.0,1.0,2.0,32,39,11,17,33,8,18,1,11,5,40,30,12,26,24,13,13,1,10,5,True,VAN,BUF,-53.0,44.0,0.2,0.7000000000000001,53.0,-64.0,15.0,15.0,-34.0,-40.0,home
3.0,0.0,0.0,4.0,28,42,12,16,34,5,21,3,14,7,37,35,10,24,26,15,11,9,9,5,True,NYI,CHI,-41.0,34.0,0.2,0.6000000000000001,66.0,-82.0,19.0,19.0,-37.0,-37.0,home
1.0,1.0,1.0,2.0,32,40,10,22,28,8,18,4,12,6,37,38,7,21,29,9,17,2,10,6,True,CBJ,DET,34.0,-40.0,-0.5,0.6000000000000001,-86.0,68.0,17.0,17.0,33.0,-40.0,home
0.0,3.0,2.0,1.0,49,27,6,34,16,21,5,4,5,2,31,37,14,16,34,11,15,4,13,7,True,ANA,EDM,78.0,-97.0,-0.5,0.7000000000000001,-36.0,-37.0,20.0,20.0,-36.0,-38.0,home
1.0,1.0,1.0,3.0,22,49,11,15,35,9,17,3,16,8,32,37,13,17,33,9,17,3,12,6,True,SJ,MON,43.0,-51.0,-0.5,0.7000000000000001,-66.0,54.0,14.0,14.0,34.0,-41.0,away
1.0,3.0,3.0,1.0,46,25,11,28,22,14,12,7,7,3,46,30,6,27,23,14,12,2,7,4,True,DAL,PIT,36.0,-43.0,-0.5,0.6000000000000001,-77.0,62.0,13.0,13.0,-36.0,-38.0,home
0.0,3.0,3.0,1.0,51,23,8,29,21,15,11,3,5,3,58,18,6,37,13,19,7,5,1,1,True,FLA,TB,33.0,-40.0,-0.5,0.7000000000000001,-80.0,64.0,16.0,16.0,34.0,-41.0,home
1.0,2.0,3.0,0.0,44,26,12,29,21,16,10,8,8,4,56,19,7,34,16,15,11,7,1,1,True,COL,WAS,-42.0,35.0,0.2,0.7000000000000001,67.0,-83.0,17.0,16.0,-40.0,-34.0,home
0.0,3.0,2.0,0.0,45,30,7,30,20,16,10,4,8,5,44,27,11,21,29,12,14,5,6,3,True,LA,NAS,38.0,-46.0,-0.5,0.6000000000000001,-71.0,58.0,19.0,18.0,-34.0,-39.0,home
2.0,0.0,2.0,1.0,53,22,7,30,20,13,13,3,2,2,39,32,11,28,22,14,12,5,11,6,True,WPG,MIN,43.0,-51.0,-0.5,0.6000000000000001,-66.0,54.0,18.0,18.0,-40.0,33.0,home
0.0,2.0,1.0,1.0,25,46,11,11,39,8,18,1,15,8,51,26,5,31,19,18,8,4,6,4,True,BOS,PHI,-46.0,39.0,0.2,0.7000000000000001,59.0,-73.0,21.0,20.0,-35.0,-38.0,home
2.0,1.0,2.0,0.0,43,31,8,27,23,16,10,3,9,4,49,22,11,34,16,17,9,4,4,3,True,STL,VEG,36.0,-42.0,-0.5,0.6000000000000001,-74.0,60.0,21.0,21.0,-42.0,34.0,home
